II
IH
IS
HI
HH
HS
SI
SH
SS
CX
IH,IS
IH,HS
IH,SS
IH,CX
IS,IH
IS,IS
IS,HH
IS,HS
IS,SH
IS,SS
IS,CX
HI,SI
HI,SH
HI,SS
HI,CX
HH,SS
HH,CX
HS,SH
HS,SS
HS,CX
SI,HI
SI,HH
SI,HS
SI,SI
SI,SH
SI,SS
SI,CX
SH,HS
SH,SS
SH,CX
SS,HH
SS,HS
SS,SH
SS,SS
SS,CX
CX,IH
CX,IS
CX,HI
CX,HH
CX,HS
CX,SH
CX,SS
IH,IS,IH
IH,IS,IS
IH,IS,HH
IH,IS,HS
IH,IS,SH
IH,IS,SS
IH,IS,CX
IH,HS,SH
IH,HS,SS
IH,HS,CX
IH,SS,HH
IH,SS,HS
IH,SS,SH
IH,SS,SS
IH,SS,CX
IH,CX,IH
IH,CX,IS
IH,CX,HI
IH,CX,HH
IH,CX,HS
IH,CX,SH
IH,CX,SS
IS,IH,IS
IS,IH,HS
IS,IH,SS
IS,IH,CX
IS,IS,CX
IS,HH,SS
IS,HH,CX
IS,HS,CX
IS,SH,HS
IS,CX,IH
IS,CX,IS
IS,CX,HI
IS,CX,HH
IS,CX,HS
HI,SI,HI
HI,SI,HH
HI,SI,HS
HI,SI,SI
HI,SI,SH
HI,SI,SS
HI,SI,CX
HI,SH,HS
HI,SH,SS
HI,SH,CX
HI,SS,HH
HI,SS,HS
HI,SS,SH
HI,SS,SS
HI,SS,CX
HI,CX,IH
HI,CX,IS
HI,CX,HI
HI,CX,HH
HI,CX,HS
HI,CX,SH
HI,CX,SS
HH,SS,HH
HH,SS,HS
HH,SS,SH
HH,SS,SS
HH,SS,CX
HH,CX,IH
HH,CX,IS
HH,CX,HI
HH,CX,HH
HH,CX,HS
HH,CX,SH
HH,CX,SS
HS,SH,HS
HS,CX,IH
HS,CX,IS
HS,CX,HI
HS,CX,HH
HS,CX,HS
SI,HI,SI
SI,HI,SH
SI,HI,CX
SI,HH,SS
SI,HH,CX
SI,HS,SH
SI,HS,SS
SI,HS,CX
SI,SI,CX
SI,SH,CX
SI,SS,CX
SI,CX,HI
SI,CX,HH
SI,CX,HS
SH,HS,SS
SH,HS,CX
SH,SS,CX
SH,CX,HI
SH,CX,HS
SS,HH,CX
SS,HS,CX
SS,CX,HI
CX,IH,HS
CX,IS,HH
CX,IS,HS
CX,HI,SI
CX,HI,SH
CX,HI,SS
CX,HI,CX
CX,HH,SS
CX,HH,CX
CX,HS,SH
CX,HS,SS
CX,HS,CX
CX,SS,HH
IH,IS,HH,CX
IH,IS,HS,CX
IH,IS,CX,HI
IH,IS,CX,HH
IH,IS,CX,HS
IH,HS,CX,IS
IH,HS,CX,HI
IH,SS,HH,CX
IH,SS,HS,CX
IH,CX,IS,HH
IH,CX,HI,SI
IH,CX,HI,SH
IH,CX,HI,SS
IH,CX,HI,CX
IH,CX,HH,SS
IH,CX,HH,CX
IH,CX,HS,SH
IH,CX,HS,SS
IH,CX,HS,CX
IS,IH,IS,IS
IS,IH,IS,HS
IS,IH,HS,SS
IS,SH,HS,CX
IS,CX,HI,SI
IS,CX,HI,SH
IS,CX,HI,SS
IS,CX,HI,CX
IS,CX,HH,SS
IS,CX,HH,CX
IS,CX,HS,SH
IS,CX,HS,SS
IS,CX,HS,CX
HI,SI,HI,CX
HI,SI,HH,CX
HI,SI,HS,CX
HI,SH,HS,CX
HI,SS,HH,CX
HI,SS,HS,CX
HI,CX,HI,SI
HI,CX,HI,SH
HI,CX,HI,SS
HI,CX,HH,CX
HI,CX,HS,CX
HH,CX,HH,CX
SI,HI,CX,IH
SI,HI,CX,IS
SI,HI,CX,HH
SI,HI,CX,HS
SI,HH,CX,IH
SI,CX,HH,CX
SI,CX,HS,CX
CX,HI,SI,HH
CX,HI,SI,HS
CX,HI,SH,CX
CX,HI,SS,CX
CX,HH,CX,IH
CX,HH,CX,HI
CX,HS,CX,HI
IH,CX,HI,SI,HH
IH,CX,HI,SH,CX
IH,CX,HH,CX,HI
HI,CX,HH,CX,IH
SI,CX,HH,CX,IH
PxI
PyI
PzI
IPx
IPy
IPz
PxPx
PxPy
PxPz
PyPx
PyPy
PyPz
PzPx
PzPy
PzPz
